%time,field.stamp,field.px,field.py,field.vx,field.vy,field.ux,field.uy
5225000000,5225000000,0.9063640793363723,0.4085094175492814,0.29150447764014653,-0.2640423093909103,0.2,0.04386543592444925
5327000000,5325000000,0.949669972881936,0.43092342036094056,0.2983072641754429,-0.2606254777745166,0.2,0.06243900716840911
5425000000,5425000000,0.9785368818129921,0.44641560869462027,0.30369741551508406,-0.26062377219856914,0.2,0.08372355770289808
5525000000,5525000000,1.0075630771349107,0.46229731461601076,0.3089720869626574,-0.2603876262018806,0.2,0.10407766297815713
5625000000,5625000000,1.0508589907483399,0.4870480009302879,0.31654618717168487,-0.2549037422313462,0.2,0.11352700773179814
5725000000,5725000000,1.0793901886321682,0.5042721976086935,0.32160591135911687,-0.2471111314070795,0.2,0.10270743480087308
5825000000,5825000000,1.1221305022661763,0.5309288070696475,0.3295969959988181,-0.24691352393351007,0.2,0.1320934186137559
5925000000,5925000000,1.1506390003040463,0.5491959781143384,0.33367206319011594,-0.24425127387999893,0.2,0.14139620177283063
6026000000,6025000000,1.1933163462693248,0.5774623359963698,0.34112528021483635,-0.23884640296737947,0.2,0.14931113867797108
6125000000,6125000000,1.221420165696932,0.5969424379378838,0.3464887328817267,-0.23451498594713718,0.2,0.15112056277199326
6227000000,6225000000,1.2635298999751183,0.6270295632483543,0.3532372160395663,-0.229789659769034,0.2,0.1605648731403837
6325000000,6325000000,1.2914260887705247,0.6477457250048823,0.35937963752584995,-0.22641175957926235,0.2,0.16554694883266585
6425000000,6425000000,1.319056228842525,0.669029719695708,0.3642238295294659,-0.22087124356685914,0.2,0.1614248347584455
6525000000,6525000000,1.3599873215192688,0.7019538187340473,0.3715073936739101,-0.2143873672252667,0.2,0.16170840500244776
6626000000,6625000000,1.3872548954378754,0.7244328182682378,0.37642681800284505,-0.2113000424923916,0.2,0.16662811094849772
6725000000,6725000000,1.4279471650412188,0.7590429455187839,0.3838283081349478,-0.20594325860086643,0.2,0.1705865131567692
